Age,H_Male,H_MS,H_Female,H_FS,D_Male,D_Female
0,0.00062,0.00062,0.00031,0.00031,0.00056,0.000399
1,0.00038,0.00038,0.00026,0.00026,0.00063,0.000468
2,0.00026,0.00026,0.00022,0.00022,0.0007,0.000537
3,0.00021,0.00021,0.00017,0.00017,0.000771,0.000606
4,0.00017,0.00017,0.00013,0.00013,0.000841,0.000675
5,0.00015,0.00015,0.00012,0.00012,0.000911,0.000744
6,0.00014,0.00014,0.00011,0.00011,0.000981,0.000812
7,0.00013,0.00013,0.00011,0.00011,0.001051,0.000881
8,0.00011,0.00011,0.0001,0.0001,0.001121,0.00095
9,0.0001,0.0001,0.0001,0.0001,0.001191,0.001019
10,0.00009,0.00009,0.00009,0.00009,0.001261,0.001088
11,0.00009,0.00009,0.00009,0.00009,0.001331,0.001157
12,0.00012,0.00012,0.0001,0.0001,0.001979,0.001336
13,0.00019,0.00019,0.00012,0.00012,0.002609,0.001515
14,0.00029,0.00029,0.00015,0.00015,0.003205,0.001666
15,0.00038,0.00038,0.00018,0.00018,0.003818,0.001818
16,0.00046,0.00046,0.0002,0.0002,0.004431,0.001955
17,0.00052,0.00052,0.00021,0.00021,0.005079,0.002066
18,0.00055,0.00085,0.00021,0.00067,0.005744,0.002162
19,0.00057,0.00083,0.00019,0.0006,0.006462,0.002231
20,0.00059,0.00082,0.00018,0.00056,0.00711,0.002231
21,0.00059,0.0008,0.00017,0.00051,0.007863,0.002231
22,0.00057,0.00076,0.00015,0.00044,0.008546,0.002231
23,0.00053,0.00071,0.00014,0.0004,0.008914,0.002286
24,0.00047,0.00065,0.00013,0.00036,0.009036,0.002328
25,0.00041,0.00058,0.00012,0.00032,0.008476,0.002383
26,0.00036,0.00054,0.00012,0.00031,0.00809,0.002465
27,0.00031,0.00049,0.00012,0.0003,0.007863,0.002576
28,0.00027,0.00045,0.00012,0.0003,0.007775,0.0027
29,0.00024,0.00043,0.00012,0.0003,0.00781,0.002837
30,0.00021,0.0004,0.00013,0.0003,0.007915,0.003003
31,0.00019,0.00038,0.00013,0.00031,0.008108,0.003182
32,0.00019,0.00041,0.00014,0.00032,0.008353,0.003361
33,0.0002,0.00043,0.00014,0.00033,0.008616,0.003553
34,0.00021,0.00046,0.00015,0.00034,0.008896,0.003746
35,0.00022,0.00051,0.00016,0.00035,0.009159,0.003939
36,0.00023,0.00059,0.00017,0.00036,0.009386,0.004132
37,0.00024,0.00064,0.00018,0.00037,0.009649,0.00438
38,0.00025,0.00069,0.00019,0.00038,0.009982,0.004669
39,0.00026,0.00078,0.0002,0.00039,0.01042,0.005027
40,0.00027,0.00083,0.00021,0.0004,0.010997,0.005454
41,0.00028,0.00088,0.00022,0.00041,0.01175,0.005964
42,0.00029,0.00094,0.00023,0.00045,0.012696,0.00657
43,0.0003,0.00098,0.00024,0.00052,0.013887,0.007286
44,0.00032,0.00106,0.00025,0.00056,0.01534,0.008112
45,0.00033,0.00111,0.00026,0.00063,0.017039,0.009049
46,0.00035,0.00118,0.00027,0.00073,0.017741,0.009635
47,0.00038,0.00129,0.00028,0.0008,0.018428,0.010215
48,0.00041,0.00139,0.00029,0.00089,0.019101,0.010787
49,0.00045,0.00153,0.0003,0.00096,0.019757,0.011352
50,0.00049,0.00166,0.00032,0.00106,0.020395,0.011907
51,0.00054,0.00183,0.00035,0.00115,0.021016,0.01245
52,0.0006,0.00203,0.00038,0.00125,0.021621,0.012979
53,0.00067,0.00226,0.0004,0.00132,0.02221,0.013494
54,0.00075,0.00253,0.00043,0.00143,0.022791,0.013992
55,0.00083,0.0028,0.00046,0.00153,0.023369,0.014479
56,0.00092,0.00311,0.00049,0.00164,0.023953,0.014958
57,0.00102,0.00346,0.00053,0.00178,0.024557,0.015439
58,0.00112,0.00381,0.00057,0.00193,0.02519,0.015931
59,0.00123,0.0042,0.00062,0.00211,0.025868,0.016447
60,0.00135,0.00463,0.00067,0.00229,0.026604,0.016999
61,0.00148,0.0051,0.00074,0.00253,0.027414,0.017603
62,0.00161,0.00558,0.00083,0.00283,0.028312,0.018273
63,0.00177,0.00615,0.00093,0.00316,0.029314,0.019028
64,0.00194,0.00676,0.00105,0.00355,0.030433,0.019884
65,0.00214,0.00746,0.00119,0.00398,0.031685,0.02086
66,0.00236,0.0082,0.00135,0.00445,0.033081,0.021976
67,0.00262,0.00904,0.00154,0.00498,0.034633,0.02325
68,0.00292,0.00998,0.00176,0.00556,0.036353,0.024702
69,0.00327,0.01102,0.002,0.00616,0.038253,0.026348
70,0.00367,0.01214,0.00227,0.00679,0.040346,0.028203
71,0.00413,0.01335,0.00257,0.00745,0.042647,0.03028
72,0.00466,0.01465,0.00289,0.00811,0.04517,0.032591
73,0.00524,0.01595,0.00324,0.00879,0.047935,0.035148
74,0.00591,0.01735,0.00362,0.0095,0.050965,0.037962
75,0.00665,0.01875,0.00402,0.01021,0.054287,0.041045
76,0.00747,0.02016,0.00445,0.01096,0.057934,0.044413
77,0.00838,0.0216,0.00489,0.01169,0.061945,0.048078
78,0.00937,0.02302,0.00536,0.01247,0.066363,0.052059
79,0.01047,0.02449,0.00584,0.01325,0.071235,0.056372
80,0.01166,0.02597,0.00634,0.01407,0.076616,0.061036
81,0.01301,0.02761,0.00687,0.01494,0.082562,0.066074
82,0.01448,0.02932,0.00742,0.01583,0.089136,0.071506
83,0.01608,0.03116,0.00797,0.01671,0.096405,0.077357
84,0.01781,0.03314,0.00854,0.01761,0.104436,0.083652
85,0.01967,0.03529,0.00912,0.0185,0.113303,0.09042
86,0.02168,0.03766,0.00971,0.01938,0.123081,0.097694
87,0.02384,0.04027,0.0103,0.02022,0.13385,0.10551
88,0.02615,0.04315,0.01089,0.02101,0.145697,0.113909
89,0.02862,0.04634,0.01149,0.02175,0.158714,0.122939
90,0.03133,0.04994,0.01211,0.02246,0.173005,0.132652
91,0.08851,0.12599,0.05697,0.08413,0.187464,0.14342
92,0.17428,0.23406,0.12426,0.16589,0.2021,0.155186
93,0.1931,0.25412,0.13529,0.17723,0.216924,0.16789
94,0.21146,0.27257,0.14702,0.18907,0.231944,0.181474
95,0.22767,0.28777,0.15948,0.20142,0.247169,0.19588
96,0.24548,0.30415,0.1727,0.21449,0.26261,0.211049
97,0.26295,0.31948,0.18669,0.22795,0.278276,0.226923
98,0.28365,0.33783,0.21313,0.25554,0.294176,0.243443
99,0.30699,0.35826,0.24015,0.28266,0.31032,0.260551
100,0.33015,0.37736,0.26745,0.30864,0.326717,0.278189
101,0.35212,0.39332,0.29465,0.33266,0.343376,0.296297
102,0.37218,0.40568,0.32135,0.35413,0.360308,0.314819
103,0.38926,0.41339,0.34708,0.37172,0.377522,0.333694
104,0.4034,0.41631,0.37028,0.38435,0.395026,0.352865
105,0.41585,0.4202,0.39348,0.39348,0.412831,0.372273
106,0.4269,0.4269,0.40615,0.40615,0.430946,0.39186
107,1,1,1,1,1,1
